anthology,title,creator,date,startpage
Piece Of My Heart: A Lesbian of Colour Anthology,Issada,Doris L. Harris,1991,70
Piece Of My Heart: A Lesbian of Colour Anthology,Image,Doris L. Harris,1991,243
Piece Of My Heart: A Lesbian of Colour Anthology,Goodbye,Doris L. Harris,1991,248
Piece Of My Heart: A Lesbian of Colour Anthology,Untitled,Heather D. Clark,1991,369
Piece Of My Heart: A Lesbian of Colour Anthology,Taking the Home out of Homophobia: Black Lesbian Health,Jewelle Gomez; Barbara Smith,1990,40
Piece Of My Heart: A Lesbian of Colour Anthology,Dear Sisters,Judy Nicholson,1991,106
Piece Of My Heart: A Lesbian of Colour Anthology,From Space to Page,Judy Nicholson,1991,222
Piece Of My Heart: A Lesbian of Colour Anthology,Until You Said,Judy Nicholson,1991,274
Piece Of My Heart: A Lesbian of Colour Anthology,Lesbians Get A.I.D.S.,Karen Augustine,1991,266
Piece Of My Heart: A Lesbian of Colour Anthology,JOE/Rape Poem,Karen Augustine,1991,365
Piece Of My Heart: A Lesbian of Colour Anthology,I Too Like to Eat Out,Laura Irene Wayne,1991,310
Piece Of My Heart: A Lesbian of Colour Anthology,Casselberry Harvest,Leleti Tamu,1991,27
Piece Of My Heart: A Lesbian of Colour Anthology,Making Love on Canvas,Leleti Tamu,1991,28
Piece Of My Heart: A Lesbian of Colour Anthology,Wrap Around Joy,Leleti Tamu,1991,332
Piece Of My Heart: A Lesbian of Colour Anthology,Expectations,Leleti Tamu,1991,333
Piece Of My Heart: A Lesbian of Colour Anthology,Dos Culturas / Two Cultures,Maria Cora,1991,193
Piece Of My Heart: A Lesbian of Colour Anthology,Single Embrace,Maria Cora,1991,225
Piece Of My Heart: A Lesbian of Colour Anthology,Fear,Maria Cora,1991,227
Piece Of My Heart: A Lesbian of Colour Anthology,In the Trenches,Raymina Y. Mays,1991,212
Piece Of My Heart: A Lesbian of Colour Anthology,Driving Alone To P-Town Is No Easy Thing,S. Renee Bess,1991,279
Piece Of My Heart: A Lesbian of Colour Anthology,The Joys and Power in Celibacy ,SDiane Bogus,1991,355
Piece Of My Heart: A Lesbian of Colour Anthology,Meditation on LOC Sisterhood,Skye Ward,1991,105
Piece Of My Heart: A Lesbian of Colour Anthology,Interview with Miss Ruth,Terri Jewell,1991,149
The Black Woman: An Anthology,And What About the Children,Audre Lorde,1968,19
The Black Woman: An Anthology,Naturally,Audre Lorde,1968,18
This Bridge Called My Back: Writings By Radical Women of Color (1ed),An Open Letter to Mary Daly,Audre Lorde,1980,94
This Bridge Called My Back: Writings By Radical Women of Color (1ed),The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,1980,98
This Bridge Called My Back: Writings By Radical Women of Color (1ed),Across the Kitchen Table: A Sister-to-Sister Dialogue,Barbara Smith; Beverly Smith,1981,113
This Bridge Called My Back: Writings By Radical Women of Color (1ed),Lesbianism: An Act of Resistance,Cheryl Clarke,1981,128
This Bridge Called My Back: Writings By Radical Women of Color (1ed),A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,1979,210
This Bridge Called My Back: Writings By Radical Women of Color (1ed),The Pathology of Racism: A Conversation with Third World Wimmin,doris diosa davenport,1980,85
This Bridge Called My Back: Writings By Radical Women of Color (1ed),Millicent Fredericks,Gabrielle Daniels,1981,76
This Bridge Called My Back: Writings By Radical Women of Color (1ed),billie lives! billie lives!,hattie gosset,1980,109
This Bridge Called My Back: Writings By Radical Women of Color (1ed),who told you anbody wants to hear from you? you ain't nothing but a black woman!,hattie gosset,1980,175
This Bridge Called My Back: Writings By Radical Women of Color (1ed),The Bridge Poem,Kate Rushin,1981,-21
This Bridge Called My Back: Writings By Radical Women of Color (1ed),Revolution: It's Not Neat or Pretty or Quick,Pat Parker,1980,238
This Bridge Called My Back: Writings By Radical Women of Color (4ed),Brownness,Andrea Canaan,1981,232
This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Black Back-Ups,Kate Rushin,1983,78
This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Tired Poem: Last Letter From a Typical (Unemployed) Black Professional Woman,Kate Rushin,1979,106
This Bridge Called My Back: Writings By Radical Women of Color (4ed),To Be Continued...,Kate Rushin,1993,109
Home Girls: A Black Feminist Anthology (1ed),The Black Back-Ups,Kate Rushin,1983,60
This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Bridge Poem,Kate Rushin,1993,-33
Home Girls: A Black Feminist Anthology (1ed),A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,1979,272
But Some Of Us Are Brave: Black Women's Studies (1ed),A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,1979,13
Mouths of Rain: Anthology of Black Lesbian Thought,I Am Your Sister: Black Women Organizing Across Sexualities,Audre Lorde,1988,198
Mouths of Rain: Anthology of Black Lesbian Thought,Toward a Black Feminist Criticism,Barbara Smith,1977,204
Piece Of My Heart: A Lesbian of Colour Anthology,Man Royals and Sodomites: Some Thoughts on the Invisibility of Afro-Carribean Leesbians,Makeda Silvera,1988,14
Piece Of My Heart: A Lesbian of Colour Anthology,Tar Beach,Audre Lorde,1979,1
Mouths of Rain: Anthology of Black Lesbian Thought,The Wedding,Beverly Smith,1983,97
Piece Of My Heart: A Lesbian of Colour Anthology,Where Will You Be?,Pat Parker,1978,189
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Tired Poem: Last Letter From a Typical (Unemployed) Black Professional Woman,Kate Rushin,1979,287
This Bridge Called My Back: Writings By Radical Women of Color (1ed),Brownness,Andrea Canaan,1981,232
This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Pathology of Racism: A Conversation with Third World Wimmin,doris diosa davenport,1980,81
This Bridge Called My Back: Writings By Radical Women of Color (4ed),An Open Letter to Mary Daly,Audre Lorde,1980,90
This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,1980,94
This Bridge Called My Back: Writings By Radical Women of Color (4ed),Across the Kitchen Table: A Sister-to-Sister Dialogue,Barbara Smith; Beverly Smith,1981,106
This Bridge Called My Back: Writings By Radical Women of Color (4ed),Lesbianism: An Act of Resistance,Cheryl Clarke,1981,126
This Bridge Called My Back: Writings By Radical Women of Color (4ed),Millicent Fredericks,Gabrielle Daniels,1981,173
This Bridge Called My Back: Writings By Radical Women of Color (4ed),Revolution: It's Not Neat or Pretty or Quick,Pat Parker,1980,238
Home Girls: A Black Feminist Anthology (40th anniversary edition),"""Under the Days"":The Buried Life and Poetry of Angeline Weld Grimké",Akasha Gloria T. Hull,1979,87
Home Girls: A Black Feminist Anthology (40th anniversary edition),What It Is I Think She's Doing Anyhow: A Reading of Toni Cade Bambara's _The Salt Eaters,Akasha Gloria T. Hull,1983,145
Home Girls: A Black Feminist Anthology (40th anniversary edition),Poem,Akasha Gloria T. Hull,1979,-69
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Sisters,Alexis De Veaux,1979,11
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Black Lesbian in American Literature: An Overview,Ann Allen Shockley,1979,99
Home Girls: A Black Feminist Anthology (40th anniversary edition),Tar Beach,Audre Lorde,1979,169
Home Girls: A Black Feminist Anthology (40th anniversary edition),Introduction,Barbara Smith,1983,-25
Home Girls: A Black Feminist Anthology (40th anniversary edition),Home,Barbara Smith,1983,77
Home Girls: A Black Feminist Anthology (40th anniversary edition),Miss Esther's Land,Barbara A. Banks,1983,201
Home Girls: A Black Feminist Anthology (40th anniversary edition),Maria de las Rosas,Becky Birtha,1979,199
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Wedding,Beverly Smith,1979,191
Home Girls: A Black Feminist Anthology (40th anniversary edition),"The Blood—Yes, The Blood: A Conversation",Cenen; Barbara Smith,1983,35
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Failure to Transform: Homophobia in the Black Community,Cheryl Clarke,1983,223
Home Girls: A Black Feminist Anthology (40th anniversary edition),Women of Summer,Cheryl Clarke,1979,259
Home Girls: A Black Feminist Anthology (40th anniversary edition),Billy de Lye,Deidre McCalla,1976,305
Home Girls: A Black Feminist Anthology (40th anniversary edition),Before I Dress and Soar Again,Donna Allegra,1983,185
Home Girls: A Black Feminist Anthology (40th anniversary edition),A Cultural Legacy Denied and Discovered: Black Lesbians in Fiction by Women,Jewelle Gomez,1983,129
Home Girls: A Black Feminist Anthology (1ed),The Tired Poem: Last Letter From a Typical (Unemployed) Black Professional Woman,Kate Rushin,1979,255
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Black Goddess,Kate Rushin,1983,367
Home Girls: A Black Feminist Anthology (40th anniversary edition),"If I Could Write This in Fire, I Would Write This in Fire ",Michelle Cliff,1983,17
Home Girls: A Black Feminist Anthology (40th anniversary edition),Where Will You Be?,Pat Parker,1978,237
Home Girls: A Black Feminist Anthology (40th anniversary edition),LeRoy's Birthday,Raymina Y. Mays,1982,187
Home Girls: A Black Feminist Anthology (40th anniversary edition),Black Lesbian/Feminist Organizing: A Conversation,Tania Abdulahad; Gwendolyn Rogers; Barbara Smith; Jameelah Waheed,1983,331
Home Girls: A Black Feminist Anthology (40th anniversary edition),"For a Godchild, Regina, On the Occasion of Her First Love",Toi Derricotte,1979,3
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Damned,Toi Derricotte,1983,7
Home Girls: A Black Feminist Anthology (40th anniversary edition),Hester's Song,Toi Derricotte,1983,9
Home Girls: A Black Feminist Anthology (40th anniversary edition),The Black Back-Ups,Kate Rushin,1983,71
Home Girls: A Black Feminist Anthology (40th anniversary edition),A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,1979,307
Home Girls: A Black Feminist Anthology (40th anniversary edition),Preface to the 40th Anniversary Edition,Barbara Smith,2023,-11
Home Girls: A Black Feminist Anthology (40th anniversary edition),Preface to the Rutgers University Press Edition,Barbara Smith,1999,-17
Piece Of My Heart: A Lesbian of Colour Anthology,Introduction,Makeda Silvera,1991,-8
