Title,FirstName,LastName,Genre,Anthology01,Anth01Year,Anth01StartPage,Anth01Editor,Anth01Press,Anthology02,Anth02Year,Anth02StartPage,Anth02Editor,Anth02Press,Anthology03,Anth03Year,Anth03StartPage,Anth02Editor,Anth03Press,AuthorBio,AuthorBorn,AuthorPhoto
Bits and Pieces,Imani,Henry,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,49,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Coming Out Story,Michelle,Hunter,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,93,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
This Is Not Done,Michelle,Hunter,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,253,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
A Short Account of My Behavior,Terri,Jewell,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,31,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Interview with Stephanie Byrd,Terri,Jewell,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,129,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Miss Ruth,Terri,Jewell,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,189,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
untitled (4/'91),Renita,Martin,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,269,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
1985: Memories of My Coming Out Year,Hope,Massiah,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,5,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Without Thinking,Liza,Messerly,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,291,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Halfway Home: Interview with Katherine James,Denise,Moore,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,105,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Waiting to Exhale: Interview with Gina Taylor,Denise A.,Moore,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,271,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
"Me, Growing Up, (part 1)",Letta,Neely,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,187,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
The Journey,Ekua,Omosupe,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,233,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Mommy Always Knows,"Kimberly ""Q""",Purnell,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,195,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Spice,Mattie,Richardson,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,225,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Be Still and Know,Brigitte M.,Roberts,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,37,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Man Royals and Sodomites: Some Thoughts on the Invisibility of Afro-Carribean Leesbians,Makeda,Silvera,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,171,Lisa C. Moore,RedBone Press,Piece Of My Heart: A Lesbian of Colour Anthology,1991,,Makeda Silvera,Sister Vision,,,,,,,,
And Now They Know,Sheree,Slaughter,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,35,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
