objectid,title,authorname,yearfirstpublished,display_template,subject,location,latitude,longitude,object_location,anthology01,anth01year,anth01startpage,anth01editor,anth01press,anthology02,anth02year,anth02startpage,anth02editor,anth02press,anthology03,anth03year,anth03startpage,Anth02Editor,anth03press,authorbio,authorborn,authorphoto
blacklesbianauthor102,her relationship to Africa lives in the part of her that is eight years,Alexis Pauline Gumbs,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,148,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor103,The Shape of My Impact,Alexis Pauline Gumbs,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,193,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor104,Can It Be?,Alice Walker,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,4,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor105,You! Inez!,Alice Ruth Moore Dunbar-Nelson,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,3,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor106,A Mona Lisa,Angelina Weld Grimké,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,8,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor107,"Three for the Price of One: Notes from a Gay, Black Feminist",Anita Cornwell,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,47,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor108,A Meeting of the Sapphic Daughters,Ann Allen Shockley,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,57,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor109,Black Pearl: A poetic drama for four voices,Arisa White,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,150,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor110,Love Poem,Audre Lorde,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,9,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor111,Woman,Audre Lorde,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,10,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor112,Uses of the Erotic: The Erotic as Power,Audre Lorde,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,11,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor113,"A Ratchet Lens: Black Queer Youth, Agency, Hip Hop, and the Black Ratchet Imagination",Bettina Love,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,226,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor114,"Introduction: No Hand, No Gaze",Briona Simone Jones,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-25,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor115,Deviance as Resistance: A New Research Agenda for the Study of Black Politics,Cathy J. Cohen,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,249,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor116,Part V: Radical Futurities,Charlene A. Carruthers,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,191,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor117,How to Make Art,Cheryl Boyce-Taylor,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,167,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor118,Foreword: We Won't Stop ,Cheryl Clarke,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-15,Briona Simone Jones,The New Press,,,,,,,,,,,,,
